College Name	City	State	SAT	ACT	price-without-aid	price-with-avg-grant	students-with-need-who-get-grants	Average-Student-Debt	Early-career-earnings
Princeton University	Princeton	 NJ	1500	34	"$67,700 "	"$19,000 "	100%	"$7,500 "	"$69,800 "
University of California-San Diego	La Jolla	 CA	1310	30	"$32,900 "	"$15,900 "	95%	"$18,500 "	"$58,600 "
University of California-Irvine	Irvine	 CA	1200	27	"$34,700 "	"$14,800 "	96%	"$17,000 "	"$54,900 "
University of California-Los Angeles	Los Angeles	 CA	1320	31	"$34,700 "	"$15,300 "	96%	"$16,300 "	"$57,500 "
Stanford University	Stanford	 CA	1480	33	"$70,800 "	"$17,900 "	98%	"$12,500 "	"$73,300 "
Massachusetts Institute of Technology	Cambridge	 MA	1530	34	"$69,000 "	"$23,200 "	96%	"$17,300 "	"$81,500 "
University of California-Berkeley	Berkeley	 CA	1410	33	"$37,900 "	"$18,400 "	99%	"$14,200 "	"$65,400 "
CUNY Bernard M Baruch College	New York	 NY	1240	NA	"$32,500 "	"$10,200 "	89%	"$10,800 "	"$54,500 "
University of Michigan-Ann Arbor	Ann Arbor	 MI	1410	31	"$30,200 "	"$17,300 "	82%	"$20,100 "	"$59,300 "
University of Virginia-Main Campus	Charlottesville	 VA	1350	31	"$33,000 "	"$17,100 "	84%	"$19,500 "	"$59,500 "
University of California-Davis	Davis	 CA	1190	28	"$36,600 "	"$17,200 "	96%	"$14,700 "	"$56,700 "
California Institute of Technology	Pasadena	 CA	1560	35	"$70,600 "	"$28,800 "	100%	"$14,400 "	"$78,800 "
Rice University	Houston	 TX	1490	34	"$64,700 "	"$23,700 "	98%	"$10,200 "	"$65,700 "
University of Pennsylvania	Philadelphia	 PA	1480	34	"$73,400 "	"$24,600 "	99%	"$20,600 "	"$68,100 "
Yale University	New Haven	 CT	1510	34	"$73,000 "	"$19,700 "	100%	"$13,500 "	"$66,800 "
Harvard University	Cambridge	 MA	1520	34	"$71,300 "	"$17,400 "	100%	"$6,500 "	"$69,200 "
Texas A & M University-College Station	College Station	 TX	1190	27	"$29,200 "	"$16,600 "	82%	"$18,800 "	"$57,200 "
Vanderbilt University	Nashville	 TN	1510	34	"$69,000 "	"$24,900 "	92%	"$14,000 "	"$61,100 "
Georgia Institute of Technology-Main Campus	Atlanta	 GA	1410	32	"$29,500 "	"$14,300 "	87%	"$24,000 "	"$68,100 "
University of Washington-Seattle Campus	Seattle	 WA	1250	29	"$27,200 "	"$10,800 "	77%	"$15,000 "	"$57,300 "
Massachusetts Maritime Academy	Buzzards Bay	 MA	1050	23	"$26,300 "	"$15,100 "	71%	"$27,000 "	"$63,100 "
California State University-Long Beach	Long Beach	 CA	1050	23	"$24,600 "	"$10,600 "	80%	"$15,000 "	"$49,200 "
University of Florida	Gainesville	 FL	1280	29	"$21,600 "	"$15,800 "	65%	"$15,800 "	"$52,200 "
Washington and Lee University	Lexington	 VA	1390	32	"$67,500 "	"$25,600 "	100%	"$21,500 "	"$59,700 "
University of Illinois at Urbana-Champaign	Champaign	 IL	1380	29	"$30,800 "	"$17,900 "	64%	"$20,500 "	"$58,600 "
SUNY at Binghamton	Vestal	 NY	1320	30	"$26,700 "	"$17,800 "	83%	"$19,500 "	"$56,400 "
The University of Texas at Austin	Austin	 TX	1280	29	"$26,100 "	"$17,200 "	80%	"$22,300 "	"$56,900 "
University of Maryland-College Park	College Park	 MD	1320	31	"$27,100 "	"$16,900 "	78%	"$19,500 "	"$57,600 "
Virginia Polytechnic Institute and State University	Blacksburg	 VA	1210	NA	"$26,900 "	"$18,500 "	71%	"$24,000 "	"$58,600 "
University of Notre Dame	Notre Dame	 IN	1450	34	"$71,100 "	"$28,700 "	97%	"$21,500 "	"$62,500 "
North Carolina State University at Raleigh	Raleigh	 NC	1260	29	"$24,300 "	"$14,000 "	90%	"$20,800 "	"$53,800 "
University of California-Riverside	Riverside	 CA	1070	24	"$35,500 "	"$13,800 "	96%	"$19,100 "	"$51,600 "
Duke University	Durham	 NC	1480	33	"$73,500 "	"$21,400 "	96%	"$7,500 "	"$65,300 "
Stony Brook University	Stony Brook	 NY	1260	29	"$26,100 "	"$14,600 "	84%	"$19,000 "	"$54,300 "
The College of New Jersey	Ewing	 NJ	1200	28	"$35,300 "	"$24,100 "	39%	"$23,300 "	"$54,400 "
Williams College	Williamstown	 MA	1440	33	"$72,300 "	"$19,500 "	100%	"$14,600 "	"$62,000 "
University of Chicago	Chicago	 IL	1530	34	"$77,600 "	"$33,400 "	98%	"$14,500 "	"$58,100 "
University of California-Santa Barbara	Santa Barbara	 CA	1260	30	"$37,000 "	"$16,300 "	93%	"$16,500 "	"$54,900 "
James Madison University	Harrisonburg	 VA	1130	25	"$26,700 "	"$17,500 "	51%	"$20,900 "	"$53,400 "
Purdue University-Main Campus	West Lafayette	 IN	1200	28	"$23,400 "	"$12,600 "	64%	"$21,500 "	"$58,000 "
Michigan State University	East Lansing	 MI	1130	27	"$29,200 "	"$16,100 "	74%	"$25,500 "	"$51,800 "
College of the Holy Cross	Worcester	 MA	1290	29	"$67,800 "	"$29,000 "	82%	"$27,500 "	"$56,000 "
Swarthmore College	Swarthmore	 PA	1420	32	"$70,500 "	"$21,100 "	100%	"$19,500 "	"$60,000 "
Dartmouth College	Hanover	 NH	1460	32	"$73,600 "	"$22,700 "	96%	"$13,500 "	"$66,300 "
California State University-Dominguez Hills	Carson	 CA	850	17	"$22,900 "	"$3,500 "	86%	"$14,000 "	"$46,200 "
Georgetown University	Washington	 DC	1420	32	"$73,300 "	"$28,600 "	88%	"$15,500 "	"$61,400 "
California State Polytechnic University-Pomona	Pomona	 CA	1030	24	"$26,700 "	"$13,500 "	79%	"$19,000 "	"$53,600 "
University of Wisconsin-Madison	Madison	 WI	1310	29	"$26,300 "	"$17,000 "	77%	"$22,300 "	"$53,400 "
California State University-Stanislaus	Turlock	 CA	910	19	"$21,000 "	"$8,100 "	87%	"$15,000 "	"$47,000 "
University of Connecticut	Storrs	 CT	1230	29	"$31,800 "	"$20,500 "	72%	"$21,500 "	"$55,400 "
California State University-Los Angeles	Los Angeles	 CA	880	18	"$25,400 "	"$4,200 "	95%	"$12,900 "	"$47,100 "
Bates College	Lewiston	 ME	NA	NA	"$70,500 "	"$25,800 "	100%	"$14,500 "	"$55,800 "
Union College	Schenectady	 NY	NA	NA	"$70,300 "	"$41,500 "	94%	"$27,000 "	"$58,500 "
Barnard College	New York	 NY	1370	31	"$73,000 "	"$24,500 "	99%	"$17,800 "	"$53,500 "
Colgate University	Hamilton	 NY	1380	32	"$71,500 "	"$24,100 "	99%	"$16,100 "	"$61,400 "
Columbia University in the City of New York	New York	 NY	1500	34	"$76,000 "	"$24,700 "	99%	"$21,500 "	"$66,000 "
College of William and Mary	Williamsburg	 VA	1360	31	"$38,300 "	"$18,000 "	86%	"$19,500 "	"$54,400 "
University of North Carolina at Chapel Hill	Chapel Hill	 NC	1320	31	"$26,200 "	"$10,800 "	88%	"$16,500 "	"$51,200 "
Brown University	Providence	 RI	1470	33	"$72,800 "	"$27,100 "	94%	"$15,000 "	"$63,000 "
Boston College	Chestnut Hill	 MA	1360	32	"$72,300 "	"$29,200 "	88%	"$19,000 "	"$59,200 "
San Jose State University	San Jose	 CA	1040	23	"$28,800 "	"$14,800 "	93%	"$15,000 "	"$58,500 "
California State University-Chico	Chico	 CA	990	22	"$25,000 "	"$14,700 "	78%	"$17,000 "	"$52,700 "
Virginia Military Institute	Lexington	 VA	1150	26	"$31,300 "	"$17,400 "	81%	"$25,000 "	"$62,200 "
California Polytechnic State University-San Luis Obispo	San Luis Obispo	 CA	1260	29	"$27,800 "	"$19,900 "	88%	"$18,700 "	"$61,100 "
Rutgers University-New Brunswick	New Brunswick	 NJ	1230	NA	"$32,300 "	"$16,800 "	70%	"$22,200 "	"$55,800 "
California State University-Fresno	Fresno	 CA	910	19	"$20,900 "	"$6,600 "	88%	"$15,000 "	"$47,800 "
California State University-San Bernardino	San Bernardino	 CA	880	18	"$24,800 "	"$6,900 "	89%	"$16,500 "	"$45,500 "
University of Delaware	Newark	 DE	1170	26	"$28,500 "	"$17,100 "	83%	"$24,200 "	"$54,300 "
Babson College	Wellesley	 MA	1270	29	"$70,100 "	"$29,500 "	95%	"$26,000 "	"$66,600 "
Amherst College	Amherst	 MA	1460	33	"$73,000 "	"$20,500 "	100%	"$13,000 "	"$60,200 "
Pomona College	Claremont	 CA	1440	33	"$71,400 "	"$19,500 "	100%	"$11,000 "	"$57,500 "
Clemson University	Clemson	 SC	1250	29	"$30,300 "	"$19,100 "	82%	"$21,500 "	"$54,300 "
Davidson College	Davidson	 NC	1350	31	"$68,300 "	"$30,000 "	98%	"$17,000 "	"$53,100 "
Haverford College	Haverford	 PA	1420	33	"$73,300 "	"$22,700 "	100%	"$13,000 "	"$54,700 "
SUNY College of Environmental Science and Forestry	Syracuse	 NY	1170	25	"$28,000 "	"$19,400 "	99%	"$19,800 "	"$49,700 "
Hamilton College	Clinton	 NY	1390	32	"$69,300 "	"$26,200 "	100%	"$15,800 "	"$58,600 "
University of Minnesota-Twin Cities	Minneapolis	 MN	1320	29	"$28,100 "	"$17,400 "	84%	"$20,200 "	"$53,400 "
